type,seconds,round,name,t,c,z,y,x
Indexed-TIFF,0.1709593,58,XY-1920-Z-259-C-4-T-1-XC-256,1,4,232,6,5
Indexed-TIFF,0.17283702,59,XY-1920-Z-259-C-4-T-1-XC-256,1,4,189,3,1
Indexed-TIFF,0.15981555,60,XY-1920-Z-259-C-4-T-1-XC-256,1,2,235,6,5
Indexed-TIFF,0.20041505,61,XY-1920-Z-259-C-4-T-1-XC-256,1,3,224,4,4
Indexed-TIFF,0.19069106,62,XY-1920-Z-259-C-4-T-1-XC-256,1,3,198,7,5
Indexed-TIFF,0.17497429,63,XY-1920-Z-259-C-4-T-1-XC-256,1,1,189,5,5
Indexed-TIFF,0.17729484,64,XY-1920-Z-259-C-4-T-1-XC-256,1,2,211,3,3
Indexed-TIFF,0.17896137,65,XY-1920-Z-259-C-4-T-1-XC-256,1,2,115,6,6
Indexed-TIFF,0.19479764,66,XY-1920-Z-259-C-4-T-1-XC-256,1,3,86,1,2
Indexed-TIFF,0.16454563,67,XY-1920-Z-259-C-4-T-1-XC-256,1,2,226,1,4
Indexed-TIFF,0.14181524,68,XY-1920-Z-259-C-4-T-1-XC-256,1,4,156,7,6
Indexed-TIFF,0.15061268,69,XY-1920-Z-259-C-4-T-1-XC-256,1,4,120,4,6
Indexed-TIFF,0.14802119,70,XY-1920-Z-259-C-4-T-1-XC-256,1,2,22,7,1
Indexed-TIFF,0.15352807000000002,71,XY-1920-Z-259-C-4-T-1-XC-256,1,3,82,3,6
Indexed-TIFF,0.14920304,72,XY-1920-Z-259-C-4-T-1-XC-256,1,1,40,1,6
Indexed-TIFF,0.18516691,73,XY-1920-Z-259-C-4-T-1-XC-256,1,2,62,3,3
Indexed-TIFF,0.19164771,74,XY-1920-Z-259-C-4-T-1-XC-256,1,3,133,5,2
Indexed-TIFF,0.16998056,75,XY-1920-Z-259-C-4-T-1-XC-256,1,1,217,7,2
Indexed-TIFF,0.17555889,76,XY-1920-Z-259-C-4-T-1-XC-256,1,2,23,5,3
Indexed-TIFF,0.14538632,77,XY-1920-Z-259-C-4-T-1-XC-256,1,3,60,3,4
Indexed-TIFF,0.14371901,78,XY-1920-Z-259-C-4-T-1-XC-256,1,2,143,4,7
Indexed-TIFF,0.16571135,79,XY-1920-Z-259-C-4-T-1-XC-256,1,2,168,6,5
Indexed-TIFF,0.17472607,80,XY-1920-Z-259-C-4-T-1-XC-256,1,3,75,7,1
Indexed-TIFF,0.17706382,81,XY-1920-Z-259-C-4-T-1-XC-256,1,2,210,4,3
Indexed-TIFF,0.13786398,82,XY-1920-Z-259-C-4-T-1-XC-256,1,2,112,7,5
